City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,el porvenir,13.7617,-87.3458,28.629999999999995,66,49,1.13,HN,1699563707
65,margaret river,-33.95,115.0667,13.210000000000036,67,100,3.61,AU,1699563708
66,ploneour-lanvern,47.9,-4.2833,9.180000000000007,81,40,5.14,FR,1699563708
67,coquimbo,-29.9533,-71.3436,17.850000000000023,77,100,4.63,CL,1699563647
68,badger,64.8,-147.5333,-1.7699999999999818,89,100,2.03,US,1699563709
69,wailua homesteads,22.0669,-159.378,28.24000000000001,80,48,4.02,US,1699563710
70,solnechnyy,50.7214,136.6319,-8.319999999999993,87,100,4.31,RU,1699563711
71,kokpekty,48.75,82.4,0.3100000000000023,70,100,1.34,KZ,1699563712
72,ocean city,39.2776,-74.5746,21.010000000000048,69,17,3.53,US,1699563712
73,atafu village,-8.5421,-172.5159,28.75,74,100,6.19,TK,1699563714
74,tolanaro,-25.0319,46.9987,23.04000000000002,88,75,2.06,MG,1699563715
75,tucuma,-0.1833,-50.05,28.920000000000016,68,51,5.15,BR,1699563716
76,thompson,55.7435,-97.8558,-5.909999999999968,73,75,4.12,CA,1699563716
77,hawaiian paradise park,19.5933,-154.9731,28.350000000000023,79,14,0.45,US,1699563717
78,mount gambier,-37.8333,140.7667,13.32000000000005,76,72,1.78,AU,1699563678
79,nova sintra,14.8667,-24.7167,22.710000000000036,66,93,4.57,CV,1699563717
80,nuuk,64.1835,-51.7216,-3.3999999999999773,68,78,2.24,GL,1699563539
81,anadyr,64.75,177.4833,-8.71999999999997,85,0,3.0,RU,1699563718
82,doral,25.8195,-80.3553,29.450000000000045,74,32,5.4,US,1699563694
83,happy valley-goose bay,53.3168,-60.3315,-0.8299999999999841,64,100,5.66,CA,1699563719
84,ribeira grande,38.5167,-28.7,20.99000000000001,94,75,9.39,PT,1699563720
85,kampene,-3.6,26.6667,20.28000000000003,96,100,0.46,CD,1699563720
86,port lincoln,-34.7333,135.8667,19.07000000000005,69,23,3.48,AU,1699563722
87,chamical,-30.36,-66.314,29.710000000000036,24,3,8.59,AR,1699563724
88,katsuura,35.1333,140.3,19.129999999999995,72,67,4.62,JP,1699563725
89,cabedelo,-6.9811,-34.8339,27.370000000000005,76,4,6.33,BR,1699563726
90,ishigaki,24.3448,124.1572,26.07000000000005,94,75,1.03,JP,1699563727
91,wanxian,30.8039,108.3897,17.05000000000001,93,52,2.35,CN,1699563728
92,pocito,-31.6833,-68.5833,28.75,15,100,2.01,AR,1699563728
93,dingcheng,32.1272,115.0394,10.770000000000039,79,100,7.66,CN,1699563729
94,west island,-12.1568,96.8225,25.99000000000001,89,69,5.66,CC,1699563729
95,vadso,70.0744,29.7487,-1.9099999999999682,86,75,8.23,NO,1699563730
96,carnarvon,-24.8667,113.6333,20.360000000000014,73,97,10.27,AU,1699563731
97,kanbe,16.7053,96.0017,26.03000000000003,80,74,1.76,MM,1699563731
98,ugoofaaru,5.6667,73.0,27.350000000000023,77,100,0.64,MV,1699563732
99,havelock,34.8791,-76.9013,24.420000000000016,74,77,3.13,US,1699563733
100,puerto colombia,10.9878,-74.9547,31.05000000000001,79,53,6.52,CO,1699563733
101,san patricio,28.017,-97.5169,29.920000000000016,69,100,3.53,US,1699563734
102,goundam,16.4145,-3.6708,29.340000000000032,16,93,3.81,ML,1699563735
103,puerto baquerizo moreno,-0.9,-89.6,24.55000000000001,94,75,5.14,EC,1699563736
104,nagqu,31.5,92.0,-7.979999999999961,63,41,1.63,CN,1699563736
105,port alfred,-33.5906,26.891,14.54000000000002,95,2,2.84,ZA,1699563737
106,jungapeo de juarez,19.45,-100.4833,25.450000000000045,67,75,2.63,MX,1699563738
107,albany,42.6001,-73.9662,9.650000000000034,81,100,0.45,US,1699563513
108,laguna,38.421,-121.4238,20.730000000000018,40,0,3.09,US,1699563739
