City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
429,monteagudo,-19.8167,-63.9833,19.99,53,100,1.91,BO,1697156225
430,cam ranh,11.9214,109.1591,25.98,83,20,1.54,VN,1697156225
431,ulundi,-28.3352,31.4162,18.98,95,66,1.31,ZA,1697156225
432,tangalle,6.024,80.7911,24.21,91,100,3.29,LK,1697156225
433,cannonvale,-20.2833,148.7,24.66,53,25,2.76,AU,1697156225
434,ust-nera,64.5667,143.2,-12.1,95,88,2.24,RU,1697156226
435,yeppoon,-23.1333,150.7333,25.88,44,0,1.69,AU,1697156226
436,ghat,24.9647,10.1728,24.48,25,27,2.6,LY,1697156226
437,dryden,49.7833,-92.7503,9.16,71,100,2.57,CA,1697156226
438,sur,22.5667,59.5289,29.2,54,1,2.85,OM,1697156227
439,kone,-21.0595,164.8658,26.64,54,37,1.78,NC,1697156024
440,badiyah,22.45,58.8,25.2,60,0,1.66,OM,1697156227
441,yeonggwang,35.275,126.5094,15.81,63,100,1.21,KR,1697156227
442,taoudenni,22.6783,-3.9836,29.06,16,0,5.15,ML,1697156228
443,grand falls-windsor,48.9332,-55.6649,11.39,89,100,2.1,CA,1697156228
444,punta del este,-34.9667,-54.95,9.93,69,0,4.12,UY,1697156228
445,slagelse,55.4028,11.3546,8.02,91,6,2.57,DK,1697156228
446,calderitas,18.55,-88.25,31.06,74,40,6.17,MX,1697156228
447,ondjiva,-17.0667,15.7333,22.98,25,43,1.9,AO,1697156229
448,ziway,7.9333,38.7167,18.44,60,80,3.09,ET,1697156229
449,altay,47.8667,88.1167,12.23,43,46,3.22,CN,1697156229
450,sao felix do xingu,-6.6447,-51.995,27.11,49,57,0.88,BR,1697156229
451,shingu,33.7333,135.9833,19.82,54,24,1.56,JP,1697156229
452,sao vicente,-23.9631,-46.3919,25.1,62,100,0.89,BR,1697156230
453,ust'-ilimsk,58.0006,102.6619,4.13,75,100,3.13,RU,1697156230
454,baharly,38.4362,57.4316,10.43,39,1,1.85,TM,1697156230
455,la barceloneta,41.3807,2.1899,21.18,81,20,2.06,ES,1697156230
456,waspan,14.7419,-83.9717,28.01,78,67,3.2,NI,1697156231
457,sola,-13.8833,167.55,25.58,80,85,7.31,VU,1697156231
458,galveston,29.3669,-94.9669,24.54,80,20,4.63,US,1697155654
459,boysun,38.2061,67.1986,10.56,74,100,4.6,UZ,1697156231
460,aykhal,66.0,111.5,-4.41,78,60,4.92,RU,1697156231
461,novaya igirma,57.1334,103.9112,5.42,80,100,1.15,RU,1697155939
462,malmberget,67.1753,20.6549,-6.69,86,90,3.6,SE,1697156232
463,axim,4.8699,-2.2405,24.24,91,100,2.16,GH,1697156232
464,kirensk,57.7853,108.1119,5.01,73,100,2.24,RU,1697156232
465,umm ruwaba,12.9061,31.2158,29.45,41,52,2.7,SD,1697156232
466,hilo,19.7297,-155.09,30.71,76,75,5.66,US,1697155989
467,djibo,14.1022,-1.6306,28.8,54,88,3.43,BF,1697156233
468,opuwo,-18.0607,13.84,20.52,32,4,2.02,NA,1697156233
469,silver city,32.7701,-108.2803,19.65,34,0,4.47,US,1697156233
470,sadovoye,47.7764,44.5089,5.36,56,13,4.5,RU,1697156234
471,bredy,52.4153,60.3411,3.01,64,54,8.96,RU,1697156234
472,haparanda,65.8355,24.1368,0.03,81,67,7.53,SE,1697156234
473,castro alves,-12.7656,-39.4283,20.82,86,10,1.92,BR,1697156234
474,rodna,47.4167,24.8167,12.81,80,94,0.7,RO,1697156235
475,batticaloa,7.7102,81.6924,24.84,89,100,3.74,LK,1697156235
476,huai'an,33.5886,119.0192,17.87,69,87,2.06,CN,1697156235
477,lautoka,-17.6167,177.4667,27.92,69,75,4.63,FJ,1697156236
478,nova sintra,14.8667,-24.7167,24.31,77,99,1.36,CV,1697156236
479,istaravshan,39.9142,69.0033,7.53,96,99,6.39,TJ,1697156236
480,moreno valley,33.9375,-117.2306,29.05,20,0,6.17,US,1697156066
481,taro,-8.3862,115.28,24.0,70,93,1.18,ID,1697156236
482,qamdo,31.1667,97.2333,-1.14,69,100,1.78,CN,1697156237
483,san luis de la loma,17.2706,-100.8939,26.97,87,43,0.99,MX,1697156237
484,kristiansund,63.1115,7.732,6.36,75,75,2.57,NO,1697156237
485,serhiyivka,46.0272,30.3768,16.29,75,28,7.65,UA,1697156237
486,wenling,28.3669,121.36,20.87,83,92,2.69,CN,1697156238
487,santena,44.9462,7.773,18.96,79,84,1.03,IT,1697156238
488,mutum biyu,8.6333,10.7667,24.36,82,45,1.29,NG,1697156238
489,ulsteinvik,62.3432,5.8487,9.5,76,100,4.02,NO,1697156238
490,feignies,50.2981,3.9153,17.87,56,100,4.25,FR,1697156238
491,nicoya,10.1483,-85.452,25.33,88,89,1.05,CR,1697155986
492,marica,-22.9194,-42.8186,24.95,96,85,3.74,BR,1697156239
493,labasa,-16.4167,179.3833,27.87,67,100,3.02,FJ,1697156239
494,sampit,-2.5333,112.95,26.76,79,79,1.37,ID,1697156239
495,jayapura,-2.5333,140.7,31.66,66,70,1.97,ID,1697156239
496,aoulef,26.9667,1.0833,27.88,21,5,9.46,DZ,1697156240
497,santiago de veraguas,8.1,-80.9833,25.34,91,99,1.79,PA,1697155993
498,hakkari,37.5833,44.1667,8.88,87,75,0.0,TR,1697156240
499,abuja,9.0574,7.4898,22.62,84,100,1.26,NG,1697155677
500,sechura,-5.5569,-80.8222,21.93,71,65,7.63,PE,1697156240
501,debark',13.1561,37.8981,11.46,74,76,1.61,ET,1697156241
502,pipar,26.3856,73.5378,25.41,48,0,2.55,IN,1697156241
